row_name	Sample_126043	Sample_126044	Sample_126045	Sample_126046	Sample_126048	Sample_126049	Sample_126050	Sample_126051	Sample_126052	Sample_126053	Sample_126054	Sample_126055	Sample_126056	Sample_126057	Sample_126058	Sample_126059	Sample_126065	Sample_126066	Sample_126067	Sample_126068	Sample_126069	Sample_126070	Sample_127119	Sample_127120	Sample_127121
ENSRNOG00000051779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000027728	500	459	331	279	252	181	73	848	683	434	511	464	471	926	254	167	63	1209	1158	970	1009	1132	1104	1093	1007
ENSRNOG00000029843	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1
ENSRNOG00000010694	48	50	64	69	32	78	18	110	109	166	55	90	68	160	40	31	3	109	204	215	258	237	621	345	620
ENSRNOG00000010802	29	25	53	20	11	13	13	71	73	64	41	59	27	81	17	16	2	64	127	111	108	145	213	103	114
ENSRNOG00000022847	1221	1065	796	705	552	423	197	1921	1694	1169	1333	1110	1086	2179	615	453	121	2639	2737	2461	2154	2496	2335	2088	2296
ENSRNOG00000009515	323	284	233	205	157	146	54	580	505	417	345	346	248	679	152	125	27	671	966	690	898	950	879	629	759
ENSRNOG00000009599	50	34	34	40	27	20	9	73	52	50	59	55	41	104	18	15	8	61	118	95	83	121	148	104	120
ENSRNOG00000009715	2032	1827	1584	1238	1144	847	376	3571	3419	2071	2654	2160	1580	3550	1154	707	251	4106	3861	4338	3190	4141	4280	3510	2626
ENSRNOG00000054837	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000025184	173	176	192	124	157	79	42	392	334	261	307	265	126	324	162	79	40	417	343	607	339	433	412	436	267
ENSRNOG00000023861	9351	8094	6610	5447	4503	3480	1727	13994	13790	10436	10677	9446	7557	15943	5391	3267	1043	19649	19040	19373	17490	20102	21587	16285	16634
ENSRNOG00000010004	15	19	33	18	17	14	5	45	40	43	43	27	16	56	18	9	3	58	81	66	85	86	107	62	66
ENSRNOG00000010024	421	372	347	330	278	201	69	759	709	373	500	456	444	983	250	177	44	890	1018	1096	779	922	1037	1039	796
ENSRNOG00000010545	397	254	203	158	121	91	30	507	404	341	319	313	246	514	136	109	33	613	692	621	544	791	1115	869	804
ENSRNOG00000010608	237	221	111	128	101	77	22	372	240	172	195	175	249	374	106	65	18	544	447	357	395	445	404	363	281
ENSRNOG00000052082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000054664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000010685	69	62	31	24	25	16	7	159	81	43	52	59	82	127	47	44	10	127	127	105	96	142	212	146	108
ENSRNOG00000053431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
